iter	Logloss
0	0.6339499577
1	0.5738254928
2	0.5254813805
3	0.4782026993
4	0.4461719419
5	0.41209743
6	0.3841835354
7	0.3587442324
8	0.3345501461
9	0.3166962741
10	0.3000876902
11	0.2849584263
12	0.2741641969
13	0.2633766671
14	0.2536898664
15	0.2456270369
16	0.2367704727
17	0.2295185821
18	0.2245849469
19	0.2179971094
20	0.211923729
21	0.2069077421
22	0.2029522738
23	0.1984451845
24	0.1953728638
25	0.1922907707
26	0.1884143262
27	0.1847602666
28	0.182163581
29	0.1801906864
30	0.1775913193
31	0.1752344505
32	0.1731603921
33	0.1709561994
34	0.1695035094
35	0.1675281245
36	0.1663607276
37	0.1644803668
38	0.1625439192
39	0.1613291515
40	0.1598260655
41	0.15845665
42	0.1569938886
43	0.155829522
44	0.1544655524
45	0.1531926439
46	0.1522727297
47	0.151483123
48	0.1503780857
49	0.1491730878
50	0.1482884914
51	0.1470719826
52	0.1460706994
53	0.1450284529
54	0.1441990273
55	0.1431346698
56	0.1422743802
57	0.1415448445
58	0.1407440082
59	0.1397724769
60	0.1388080638
61	0.137970701
62	0.1374565246
63	0.1365658928
64	0.1357223441
65	0.1351778958
66	0.1343808831
67	0.1333782497
68	0.1326504701
69	0.131982357
70	0.1312663442
71	0.1308094201
72	0.1302097707
73	0.1294659083
74	0.128891323
75	0.1284070216
76	0.1277353299
77	0.1272452677
78	0.1267553401
79	0.1262360666
80	0.1256237075
81	0.1250156823
82	0.1245094377
83	0.124042624
84	0.1233007293
85	0.122541871
86	0.122098083
87	0.1217497874
88	0.1212335469
89	0.1207299693
90	0.1200258684
91	0.1194728174
92	0.1191119361
93	0.1185897984
94	0.1181104884
95	0.1177180835
96	0.1172371982
97	0.1168000609
98	0.1163258842
99	0.1159236251
100	0.1155267157
101	0.1152788408
102	0.114828019
103	0.1143211102
104	0.1138389221
105	0.1133026333
106	0.1127923609
107	0.1124694804
108	0.1121478134
109	0.1118350666
110	0.1115350327
111	0.1111189843
112	0.1107614593
113	0.1103565302
114	0.1098613224
115	0.1095093271
116	0.1092674826
117	0.1089193876
118	0.1085010324
119	0.1082325181
120	0.1079377244
121	0.1076070861
122	0.1073007975
123	0.1069468807
124	0.106577727
125	0.1063130446
126	0.1060783646
127	0.1054939825
128	0.1052084482
129	0.1048928619
130	0.1046032197
131	0.1043244263
132	0.1041274394
133	0.103923005
134	0.1036848983
135	0.1034457767
136	0.1031644943
137	0.1029828876
138	0.1026191776
139	0.1024056433
140	0.1020636502
141	0.1016368608
142	0.1013453303
143	0.1010730881
144	0.100762314
145	0.1004912173
146	0.1002885455
147	0.1000404331
148	0.09977709498
149	0.09958381551
150	0.09940231408
151	0.09922448495
152	0.09888327234
153	0.09845726481
154	0.09824269915
155	0.09804606034
156	0.09786691507
157	0.09755550711
158	0.09729526686
159	0.09706839617
160	0.09672382648
161	0.09655720472
162	0.09634684914
163	0.09596633016
164	0.09577645961
165	0.09560445165
166	0.09534445437
167	0.09499935998
168	0.09480265015
169	0.09453113811
170	0.09423473113
171	0.09386203198
172	0.09359049281
173	0.09324641185
174	0.09305207944
175	0.09288295956
176	0.09272885391
177	0.09257024301
178	0.09235268622
179	0.09218031266
180	0.09188110609
181	0.09170735126
182	0.09153712441
183	0.09128409891
184	0.09113717306
185	0.09093988881
186	0.09073328658
187	0.09048554376
188	0.0901164977
189	0.0899928549
190	0.08980398567
191	0.08958812079
192	0.08942350697
193	0.08906694649
194	0.08876491134
195	0.08861072347
196	0.08844240423
197	0.08816296065
198	0.08798932137
199	0.08775728536
200	0.08756761616
201	0.08737762365
202	0.08718613764
203	0.08676365082
204	0.08662037918
205	0.08634985029
206	0.08614278475
207	0.08597345543
208	0.0858025998
209	0.08565505481
210	0.08548088087
211	0.08533514408
212	0.08518067563
213	0.08499653817
214	0.08486249954
215	0.08469727985
216	0.08453560751
217	0.08422574498
218	0.08404710842
219	0.08389112596
220	0.08360302199
221	0.0834166564
222	0.0829439593
223	0.08282492232
224	0.08269366756
225	0.08253534223
226	0.08222640812
227	0.08211773198
228	0.08169131345
229	0.08150123359
230	0.08134379549
231	0.08121034523
232	0.08104355719
233	0.08087782529
234	0.0807437042
235	0.08057893682
236	0.08030340934
237	0.08011316741
238	0.07997922007
239	0.07981360948
240	0.0795888028
241	0.07946489255
242	0.07935504837
243	0.07920091033
244	0.07897486466
245	0.07887995133
246	0.07867985246
247	0.07860207075
248	0.07845358014
249	0.07834548478
250	0.07812508967
251	0.07796480043
252	0.07782639235
253	0.07768786778
254	0.07741676974
255	0.07726491789
256	0.07714094747
257	0.07697631433
258	0.07685107647
259	0.07673675149
260	0.07657007296
261	0.07630320915
262	0.07619039066
263	0.07595744967
264	0.07575006321
265	0.07556934598
266	0.07550800256
267	0.07538272312
268	0.07524850503
269	0.07510154728
270	0.07494570883
271	0.07487494317
272	0.07472528755
273	0.07460226326
274	0.07445194549
275	0.07435656031
276	0.07414889118
277	0.07389716267
278	0.07377744708
279	0.07364783344
280	0.07354860226
281	0.07347411301
282	0.07331556606
283	0.07320347885
284	0.07311230112
285	0.07279106278
286	0.07268933258
287	0.0725260398
288	0.07229532145
289	0.07211872189
290	0.0719984283
291	0.07184815461
292	0.0716379804
293	0.07149745967
294	0.07135675342
295	0.07123723165
296	0.07111132816
297	0.07101036194
298	0.07090852244
299	0.07080363551
300	0.0707370423
301	0.07066879929
302	0.07055176895
303	0.07040082086
304	0.0701129367
305	0.07004888244
306	0.0699374062
307	0.0697982111
308	0.06973268283
309	0.06956823673
310	0.06947418295
311	0.06937505372
312	0.06929859021
313	0.06922837361
314	0.06907694359
315	0.06894446591
316	0.06871237365
317	0.06861833805
318	0.0685049323
319	0.06839512444
320	0.06828176963
